# Rime user dictionary
#@/db_name	terra_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	4257
#@/user_id	e046fdd6-b287-4fb1-baa6-1a5de5d90fd4
bu4 xiang3 	不想	c=0 d=7.33697e-06 t=4257
bu4 xu1 yao1 	不需要	c=2 d=0.15339 t=4257
bu4 xuan3 	不選	c=0 d=2.24867e-05 t=4257
bu4 ying1 gai1 	不應該	c=1 d=6.29975e-06 t=4257
bu4 yong4 	不用	c=1 d=0.00759362 t=4257
bu4 yong4 dian4 shi4 	不用電視	c=1 d=0.0742736 t=4257
bu4 yong4 wen4 wo3 	不用問我	c=1 d=0.0285814 t=4257
bu4 zai4 	不在	c=2 d=4.13539e-06 t=4257
bu4 zheng1 	不正	c=1 d=2.76745e-05 t=4257
bu4 zhi1 dao4 	不知道	c=3 d=0.142624 t=4257
bu4 zhu2 jie2 	不逐節	c=1 d=2.72625e-05 t=4257
bu4 zuo4 	不做	c=1 d=8.29382e-06 t=4257
cai2 	才	c=1 d=9.06807e-05 t=4257
cai2 neng2 	才能	c=6 d=0.00956955 t=4257
cai2 neng2 gou4 	才能夠	c=1 d=0.00158052 t=4257
cai2 neng2 huo4 de2 	才能獲得	c=1 d=0.00116504 t=4257
cai2 you3 yong4 	才有用	c=1 d=9.23431e-05 t=4257
cai3 se4 	彩色	c=1 d=0.193013 t=4257
can1 jia1 	參加	c=1 d=2.04128e-05 t=4257
can1 kao3 	參考	c=1 d=2.4059e-05 t=4257
can1 yu4 	參與	c=1 d=7.33822e-07 t=4257
can2 ji2 	殘疾	c=1 d=0.020141 t=4257
can3 	慘	c=1 d=0.878095 t=4257
ce4 cheng1 	側撐	c=2 d=0.00843808 t=4257
ce4 hou4 	側後	c=2 d=0.0101282 t=4257
ce4 hou4 shi4 	側後式	c=1 d=0.101774 t=4257
ce4 qu1 	側屈	c=3 d=0.00197553 t=4257
ce4 ti1 	側踢	c=2 d=0.129381 t=4257
ce4 wan1 	側彎	c=2 d=0.130251 t=4257
ce4 wo4 	側臥	c=5 d=0.825641 t=4257
cha1 bie2 	差別	c=1 d=1.50032e-08 t=4257
cha2 kan4 	查看	c=0 d=0.0499074 t=4257
cha2 shou1 	查收	c=8 d=0.601527 t=4257
cha2 shou1 fu4 jian4 	查收附件	c=2 d=0.0234009 t=4257
cha2 xun2 	查詢	c=1 d=2.11844e-08 t=4257
cha4 bu5 duo1 	差不多	c=0 d=0.00356146 t=4257
chan3 hou4 	產後	c=4 d=0.0213379 t=4257
chan3 pin3 	產品	c=4 d=0.0836627 t=4257
chan3 qian2 	產前	c=3 d=0.000268432 t=4257
chang2 	長	c=1 d=0.102797 t=4257
chang2 du4 	長度	c=1 d=1.97966e-05 t=4257
chang2 jian4 	常見	c=6 d=0.00196336 t=4257
chang2 jian4 cuo4 wu4 	常見錯誤	c=1 d=0.002737 t=4257
chang2 shi4 	嘗試	c=2 d=1.64042e-06 t=4257
chang3 guan3 	場館	c=5 d=0.923116 t=4257
chao1 	超	c=1 d=0.0165727 t=4257
chao1 guo4 	超過	c=0 d=1.35709e-05 t=4257
chao2 liang4 	潮量	c=1 d=0.332871 t=4257
chen2 jian1 	沉肩	c=2 d=0.00199111 t=4257
chen2 lian4 	晨練	c=5 d=0.00874435 t=4257
cheng2 	成	c=1 d=0.0902655 t=4257
cheng2 gong1 	成功	c=4 d=0.674824 t=4257
cheng2 li4 	成立	c=0 d=4.57378e-05 t=4257
cheng2 li4 yu2 	成立於	c=1 d=0.000459671 t=4257
cheng2 wei2 	成爲	c=1 d=0.000765486 t=4257
chi1 fan4 	吃飯	c=0 d=0.0348192 t=4257
chi1 fan4 qu4 le5 	吃飯去了	c=1 d=0.349938 t=4257
chi1 yao4 	吃藥	c=1 d=5.68554e-05 t=4257
chi2 	持	c=1 d=0.810584 t=4257
chi2 xu4 	持續	c=0 d=2.3469e-08 t=4257
chi2 xu4 xue2 fen1 	持續學分	c=1 d=2.35866e-07 t=4257
chi2 you3 	持有	c=2 d=1.73687e-06 t=4257
chi3 gu3 	恥骨	c=1 d=1.04909e-05 t=4257
chong1 	沖	c=1 d=0.99005 t=4257
chong2 fu4 	重複	c=3 d=0.00427723 t=4257
chong2 fu4 lian4 xi2 	重複練習	c=1 d=1.27827e-06 t=4257
chong2 zi5 	蟲子	c=0 d=0.0105928 t=4257
chou1 jin1 	抽筋	c=1 d=1.28779e-05 t=4257
chu1 	初	c=1 d=0.0939493 t=4257
chu1 ban3 	出版	c=3 d=0.242724 t=4257
chu1 fa1 	出發	c=1 d=1.86952e-08 t=4257
chu1 ji2 	初級	c=2 d=0.344909 t=4257
chu1 qu4 	出去	c=2 d=0.000133142 t=4257
chu1 qu4 zou3 bu4 	出去走步	c=1 d=7.33697e-05 t=4257
chu1 sheng1 	出生	c=1 d=0.0867261 t=4257
chu1 shi3 	初始	c=1 d=8.3786e-08 t=4257
chu1 xue2 zhe3 	初學者	c=1 d=0.247833 t=4257
chu2 le5 	除了	c=6 d=0.000118832 t=4257
chu3 bei4 liang2 	儲備量	c=3 d=1.01374 t=4257
chu3 yu2 	處於	c=2 d=2.60804e-05 t=4257
chu4 jue2 	觸覺	c=2 d=0.00198083 t=4257
chuan2 shou4 	傳授	c=1 d=1.47036e-06 t=4257
chuan2 tong3 	傳統	c=5 d=0.571215 t=4257
chuang2 	牀	c=7 d=1.24344 t=4257
chuang2 chu1 ji2 	牀初級	c=1 d=0.168638 t=4257
chuang2 xi4 lie4 	牀系列	c=1 d=1.40227e-07 t=4257
chuang2 yi1 	牀一	c=1 d=0.0389686 t=4257
chuang2 zhong1 ji2 	牀中級	c=1 d=0.171187 t=4257
chuang4 jian4 	創建	c=1 d=3.32238e-08 t=4257
chuang4 shi3 ren2 	創始人	c=3 d=0.347926 t=4257
chuang4 zao4 	創造	c=2 d=0.217558 t=4257
chun1 nuan3 	春暖	c=1 d=1.6957e-07 t=4257
ci3 	此	c=1 d=0.0644028 t=4257
ci3 dong4 zuo4 	此動作	c=1 d=0.00477195 t=4257
ci4 	次	c=1 d=0.00248172 t=4257
cong2 	從	c=1 d=0.00138093 t=4257
cong2 na3 	從哪	c=1 d=0.310367 t=4257
cong2 tou2 	從頭	c=1 d=0.000141247 t=4257
cong2 xin1 	從新	c=1 d=2.17732e-07 t=4257
cu4 jin4 	促進	c=1 d=0.08377 t=4257
cu4 jin4 xue4 xun2 huan2 	促進血循環	c=1 d=0.084163 t=4257
cui1 	催	c=1 d=0.640824 t=4257
cun2 	存	c=1 d=0.140156 t=4257
cun4 	寸	c=2 d=0.180552 t=4257
cuo4 le5 	錯了	c=1 d=0.509156 t=4257
cuo4 wu4 	錯誤	c=1 d=0.00200692 t=4257
da1 dang3 	搭檔	c=2 d=0.0107742 t=4257
da1 pei4 	搭配	c=1 d=0.0426384 t=4257
da2 	達	c=1 d=2.35298e-08 t=4257
da2 dao4 	達到	c=1 d=2.86602e-05 t=4257
da3 bu4 kai1 	打不開	c=3 d=0.0376283 t=4257
da3 cha1 	打叉	c=1 d=2.37008e-05 t=4257
da3 kai1 	打開	c=6 d=0.0385592 t=4257
da3 kai1 le5 	打開了	c=1 d=5.99353e-08 t=4257
da3 yin4 	打印	c=9 d=2.85135 t=4257
da3 yin4 liang2 fen3 	打印涼粉	c=1 d=0.0057994 t=4257
da4 	大	c=1 d=0.0571318 t=4257
da4 da4 	大大	c=1 d=0.126818 t=4257
da4 de5 	大的	c=1 d=0.0193512 t=4257
da4 duo1 shu4 	大多數	c=1 d=0.00136795 t=4257
da4 gang1 	大綱	c=1 d=0.0584257 t=4257
da4 hui4 	大會	c=0 d=0.000278085 t=4257
da4 jia1 	大家	c=0 d=0.000369864 t=4257
da4 jia1 jue2 de5 	大家覺得	c=1 d=7.67598e-07 t=4257
da4 jiao4 zhi1 	大較之	c=1 d=9.73289e-06 t=4257
da4 qi4 xie4 	大器械	c=1 d=0.574072 t=4257
da4 shun4 	大順	c=1 d=2.76077e-06 t=4257
da4 zhan4 	大戰	c=1 d=0.895834 t=4257
dai4 	帶	c=3 d=0.0837242 t=4257
dai4 xian4 zai4 	帶現在	c=1 d=0.000134358 t=4257
dan1 	單	c=0 d=5.53179e-07 t=4257
dan1 bian1 	單邊	c=2 d=0.00105947 t=4257
dan1 fo2 	丹佛	c=2 d=0.571826 t=4257
dan1 tui3 	單腿	c=4 d=0.111256 t=4257
dan1 tui3 shen1 zhan3 	單腿伸展	c=2 d=0.0165922 t=4257
dan1 xuan3 ti2 	單選題	c=1 d=6.34772e-07 t=4257
dan1 xuan3 ze2 ti2 	單選擇題	c=1 d=5.55951e-06 t=4257
dang1 	當	c=2 d=0.00114093 t=4257
dang1 di4 	當地	c=1 d=0.000452827 t=4257
dang1 ji3 zhu4 	當脊柱	c=1 d=5.96262e-06 t=4257
dang1 ke4 hu4 	當客戶	c=1 d=1.56506e-05 t=4257
dang1 ni3 	當你	c=1 d=7.39283e-06 t=4257
dang1 ran2 	當然	c=2 d=0.0244775 t=4257
dang1 ran2 you3 wen4 ti2 	當然有問題	c=1 d=0.0804596 t=4257
dang1 yao1 bei4 	當腰背	c=1 d=1.25599e-05 t=4257
dang1 zhong1 	當中	c=1 d=0.0816756 t=4257
dang4 	擋	c=1 d=0.852144 t=4257
dao1 kou3 	刀口	c=0 d=0.00298969 t=4257
dao3 	島	c=1 d=0.0934807 t=4257
dao3 shi1 	導師	c=14 d=1.09299 t=4257
dao3 shi1 ban1 	導師班	c=1 d=2.75411e-07 t=4257
dao3 shi1 jie4 shao4 	導師介紹	c=4 d=0.000301408 t=4257
dao3 zhi4 	導致	c=0 d=0.000194013 t=4257
dao4 	到	c=6 d=0.680612 t=4257
dao4 ban3 	盜版	c=0 d=0.0035437 t=4257
